,Status
113348,0
132791,0
15374,0
141310,0
16098,1
141672,0
54306,0
66726,0
73447,0
36431,0
68756,0
110822,1
36605,0
21486,0
104904,1
53969,0
77294,1
32515,1
124169,0
79835,0
107274,0
93819,0
90800,0
51660,0
33144,0
61235,0
19007,1
138689,1
126185,0
86309,0
78448,1
12131,0
72893,0
95565,0
15100,0
26961,0
41605,1
110423,0
17958,1
16027,0
4899,1
143334,0
20809,1
129853,0
134529,0
635,0
40806,0
48899,1
139049,0
102301,0
97640,0
65803,0
98026,0
107398,1
14784,1
81433,0
11392,1
68137,0
132320,0
29210,0
18279,0
140616,0
55438,0
92388,0
109951,1
43368,0
127604,0
284,0
134238,0
52634,0
110062,0
58381,0
66165,0
36438,1
117764,0
134104,0
84338,1
14794,0
51190,0
49223,1
50975,0
66286,0
17608,0
8229,0
72555,0
17482,0
123431,0
14612,0
76711,0
20446,0
67289,1
142486,1
39260,0
56761,1
140675,0
126370,0
73993,0
117345,1
107767,0
21887,1
142112,0
99153,0
57859,1
84527,1
44775,0
106471,0
147699,0
108144,0
128653,0
132297,1
74740,0
4884,0
36196,0
100412,0
11942,0
84667,1
54311,0
130264,0
110648,0
101725,0
69448,0
130151,0
48546,0
145778,0
684,0
6954,0
103286,0
98673,0
6545,1
139836,0
89611,1
58196,0
24279,0
14916,1
17559,0
71115,0
122995,0
76246,0
110206,0
98696,0
96055,1
138958,0
98744,0
70251,1
40279,1
21250,0
126195,0
147422,0
147703,0
40667,0
41540,1
62390,1
8889,0
73471,0
94454,1
80967,0
35156,0
22361,0
136418,0
63173,0
60203,0
35944,0
122556,0
48642,0
21807,0
45495,0
61086,0
115389,0
132018,0
5020,0
110272,1
132953,0
131421,1
11586,0
86093,0
46192,0
100595,1
37689,1
95465,1
92800,0
126538,1
118310,1
9443,1
141158,0
36361,0
34818,0
132587,0
129446,0
96454,0
88266,0
76098,0
115398,0
23880,0
67878,0
110261,1
60737,0
18624,0
35775,0
20811,0
122444,0
132031,0
118343,0
5591,0
49696,1
19914,0
134801,0
40574,0
35186,0
129256,1
50215,0
22769,1
108548,1
50784,1
55669,0
102349,0
131589,0
139134,0
31441,0
33896,1
81462,1
44440,0
127875,0
135323,0
136288,0
6060,0
10652,0
7628,0
77421,0
130816,0
11441,1
78419,0
55502,1
57410,0
45981,0
132699,0
37159,0
95215,0
54366,0
87858,0
137127,0
38265,1
10646,0
24744,0
34693,1
61941,1
33078,0
23701,0
64734,0
107664,0
108581,0
47384,1
18851,0
112095,0
74440,0
26578,0
137209,0
15408,0
32308,0
47417,0
40444,0
117421,0
45073,0
10438,0
51504,1
145903,0
26989,0
135765,1
110061,1
114396,0
123466,0
31600,1
89219,0
68866,0
112469,0
136145,0
125584,1
96843,0
99496,0
77646,1
21225,0
11685,0
112221,1
74844,0
74024,0
33890,1
66426,0
6953,1
123874,0
62415,0
62384,0
126850,0
46293,0
2660,1
110344,1
99804,0
130509,0
124806,0
141836,1
100901,0
126241,1
46686,1
34215,1
14010,0
130604,0
107825,1
78458,0
24273,0
131437,0
61735,0
12635,0
29337,0
115928,1
48026,0
9199,0
121299,0
82153,0
6035,1
35179,0
69929,0
110950,0
49800,0
58894,1
17861,0
65147,0
129132,1
9652,0
37115,1
100985,0
116914,0
91607,0
116149,0
138457,0
3257,0
9859,0
110069,1
125871,0
88884,0
131822,0
69385,0
142983,0
114135,0
74009,0
109824,0
58430,0
13343,0
103751,1
101414,0
51568,0
126985,1
88672,0
123555,0
140819,1
49962,0
1803,1
119107,0
126108,0
54801,0
58098,0
66870,1
18709,0
102928,0
111712,0
137175,0
96248,0
48969,0
90493,0
31786,0
28574,0
147646,0
100216,0
24043,1
10670,1
121414,0
102434,0
95113,1
80547,1
101935,0
46737,0
56653,1
128341,0
200,0
10051,0
119888,0
131204,1
4097,0
67523,1
87500,0
141905,1
78958,0
57683,0
134957,0
126634,0
78001,0
